ID,В стоп-л,Email польз.,Email VK,Email Yandex,Email Google,Email OK,Email Twitter,Email FB,ID пользователя,Дата рождения,Кол-во транзакций,Накоп. сумма,Посл. пожер.
504,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,08.04.2019 23:48:04
503,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,60.00,09.04.2019 12:13:28
502,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,700.00,15.04.2019 18:50:57
501,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,150.00,23.04.2019 18:08:16
500,Нет,Есть,-,-,-,-,-,-,147018,1965-05-25,1,3000.00,25.04.2019 23:10:31
499,Да,Есть,-,-,-,-,-,-,134851,1979-03-15,5,1000.00,26.05.2019 01:51:00
498,Нет,Есть,-,-,-,-,-,-,144667,1972-12-08,1,1000.00,01.06.2019 01:57:48
497,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,1500.00,17.08.2019 13:46:57
496,Нет,Есть,-,-,-,-,-,-,150616,1983-09-07,4,300.00,19.08.2019 03:43:06
495,Нет,-,-,-,-,-,-,-,Не указано,Не указано,16,1300.00,20.08.2019 21:21:55
494,Нет,Есть,-,-,-,-,-,-,11986,1986-06-22,14,1100.00,03.09.2019 21:48:00
493,Нет,Есть,-,-,-,-,-,-,147307,1994-11-24,1,200.00,22.09.2019 15:18:02
492,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,0,14.10.2019 16:14:14
491,Нет,Есть,-,-,-,-,-,-,62885,Не указано,1,200.00,15.10.2019 14:32:25
490,Да,Есть,-,-,-,-,-,-,149903,1980-05-09,2,800.00,03.11.2019 04:10:27
489,Да,Есть,-,-,-,-,-,-,92039,Не указано,4,500.00,16.11.2019 01:14:46
488,Нет,-,-,-,-,-,-,-,Не указано,Не указано,20,1700.00,16.11.2019 13:50:37
487,Да,Есть,-,-,-,-,-,-,122541,Не указано,4,100.00,16.11.2019 14:23:17
486,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,26.11.2019 02:27:16
485,Нет,Есть,-,-,-,-,-,-,150667,1993-02-11,1,500.00,26.11.2019 02:34:52
484,Нет,Есть,-,-,-,-,-,-,71048,Не указано,1,50.00,26.11.2019 02:59:27
483,Нет,Есть,Есть,-,-,-,-,-,146895,1971-08-26,1,100.00,26.11.2019 16:50:09
482,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,27.11.2019 21:38:28
481,Нет,Есть,-,-,-,-,-,-,148093,2001-07-31,1,200.00,28.11.2019 03:49:50
480,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,200.00,29.11.2019 02:56:58
479,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,30.11.2019 13:45:10
478,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,25.00,30.11.2019 15:18:56
477,Нет,Есть,-,-,-,-,-,-,149371,Не указано,1,100.00,30.11.2019 17:04:55
476,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,100.00,02.12.2019 19:18:36
475,Нет,Есть,-,-,-,-,-,-,29985,Не указано,1,50.00,03.12.2019 01:37:06
474,Нет,Есть,-,-,-,-,-,-,142278,1987-10-22,2,100.00,16.12.2019 15:09:03
473,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,10000.00,19.12.2019 15:11:20
472,Нет,Есть,-,-,-,-,-,-,121465,1996-04-06,19,8000.00,22.12.2019 17:58:32
